기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,당월_매출_건수,점포수,당월_매출금액/점포수,당월_매출건수/점포수,총_유동인구_수,총_직장_인구_수,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,시군구_코드
2020,2,A,골목상권,1000555,강서로17가길,LL,다이나믹,105,52,1506107210.0,65057,35,43031634.571428575,1858.7714285714285,565395,554,3145,75,49,120408007,11500
2020,2,A,골목상권,1000554,강서로15길,LL,다이나믹,111,44,5468838821.0,516179,135,40509917.19259259,3823.5481481481484,1516060,261,5480,134,50,124004881,11500
2020,2,A,골목상권,1000553,가로공원로80길,LL,다이나믹,100,49,5245924654.0,161362,74,70890873.7027027,2180.5675675675675,597638,270,2935,86,52,127425531,11500
2020,2,A,골목상권,1000552,가로공원로76가길,HL,상권축소,112,49,2313463216.0,158579,75,30846176.213333335,2114.3866666666668,714248,168,3121,77,50,124608220,11500
2020,2,A,골목상권,1000551,화곡로4길,LH,상권확장,109,56,5647291157.0,289974,92,61383599.532608695,3151.891304347826,249594,421,1528,29,50,114295308,11470
2020,2,A,골목상권,1000550,화곡로3길,HL,상권축소,115,53,1446946122.0,85058,74,19553325.972972974,1149.4324324324325,423625,351,3198,49,58,137089641,11470
2020,2,A,골목상권,1000549,지양로7길,HL,상권축소,117,44,5590645837.0,341085,152,36780564.71710526,2243.9802631578946,463723,245,3147,155,41,75853443,11470
2020,2,A,골목상권,1000548,중앙로55길,HH,정체,127,65,2595081541.0,203000,27,96114131.14814815,7518.518518518518,897298,592,3856,98,52,110956375,11470
2020,2,A,골목상권,1000547,중앙로51길,HL,상권축소,112,53,1624513709.0,80731,99,16409229.383838383,815.4646464646464,995648,283,4164,68,59,144822508,11470
2020,2,A,골목상권,1000546,중앙로47길,HH,정체,147,58,1733836671.0,85976,30,57794555.7,2865.866666666667,1015164,94,1794,36,60,184393930,11470
2020,2,A,골목상권,1000545,중앙로45길,HH,정체,142,54,6326863992.0,440447,91,69525977.93406594,4840.076923076923,815278,1386,2127,40,54,174295107,11470
2020,2,A,골목상권,1000544,중앙로36길,HL,상권축소,116,49,3911937770.0,179071,99,39514522.92929293,1808.79797979798,362964,133,924,8,49,139143959,11470
2020,2,A,골목상권,1000543,중앙로32길,HL,상권축소,114,46,8406202517.0,277131,151,55670215.344370864,1835.3046357615895,415384,145,1096,11,56,178096189,11470
2020,2,A,골목상권,1000542,중앙로25길,HH,정체,139,57,1345926717.0,68908,46,29259276.45652174,1498.0,451465,97,1773,19,51,170825754,11470
2020,2,A,골목상권,1000541,은행정로7길,HL,상권축소,112,46,5670991479.0,161713,84,67511803.32142857,1925.154761904762,735295,472,3292,77,54,146203710,11470
2020,2,A,골목상권,1000540,은행정로5길,LL,다이나믹,110,52,7089374068.0,357245,123,57637187.54471545,2904.430894308943,177003,109,787,6,45,137612103,11470
2020,2,A,골목상권,1000539,오목로5길,LL,다이나믹,107,51,6404286965.0,272059,133,48152533.571428575,2045.5563909774437,605164,120,3962,37,57,162721405,11470
2020,2,A,골목상권,1000538,오목로3길,LL,다이나믹,97,48,1111533434.0,53499,40,27788335.85,1337.475,889278,375,3512,55,54,142598479,11470
2020,2,A,골목상권,1000537,오목로30길,LL,다이나믹,98,49,3778861461.0,117786,88,42941607.51136363,1338.4772727272727,833213,220,3541,86,49,132209844,11470
2020,2,A,골목상권,1000536,오목로23길,LL,다이나믹,107,48,3066788510.0,118147,47,65250819.36170213,2513.7659574468084,1189632,401,4420,91,47,133457863,11470
